Temperature (K),Grain Size (nm),Fe %,Ni %,Cr %,Co %,Cu %,Strain Rate (Strain/ps),Young's Modulus (GPa),Yield Strength (MPa),Ultimate Tensile Strength (MPa)
300,14.3,0.22,0.12,0.22,0.22,0.22,0.004,124,2827,4817
300,14.3,0.215,0.14,0.215,0.215,0.215,0.004,123,3242,4947
300,14.3,0.21,0.16,0.21,0.21,0.21,0.004,126,3077,5023
300,14.3,0.205,0.18,0.205,0.205,0.205,0.004,126,3183,4957
300,14.3,0.195,0.22,0.195,0.195,0.195,0.004,132,3019,5124
300,14.3,0.19,0.24,0.19,0.19,0.19,0.004,136,3029,5086
300,14.3,0.185,0.26,0.185,0.185,0.185,0.004,132,3126,5138
300,14.3,0.18,0.28,0.18,0.18,0.18,0.004,137,3181,5357
300,14.3,0.175,0.3,0.175,0.175,0.175,0.004,136,3153,5162
300,14.3,0.225,0.225,0.1,0.225,0.225,0.004,128,3226,4909
300,14.3,0.22,0.22,0.12,0.22,0.22,0.004,127,3106,4951
300,14.3,0.215,0.215,0.14,0.215,0.215,0.004,126,3080,4866
300,14.3,0.21,0.21,0.16,0.21,0.21,0.004,127,3097,5067
300,14.3,0.205,0.205,0.18,0.205,0.205,0.004,128,3222,5046
300,14.3,0.195,0.195,0.22,0.195,0.195,0.004,131,2830,4977
300,14.3,0.19,0.19,0.24,0.19,0.19,0.004,130,3068,5064
300,14.3,0.185,0.185,0.26,0.185,0.185,0.004,130,3060,4910
300,14.3,0.18,0.18,0.28,0.18,0.18,0.004,130,3025,5058
300,14.3,0.175,0.175,0.3,0.175,0.175,0.004,129,3045,5157
300,14.3,0.225,0.225,0.225,0.1,0.225,0.004,127,3141,5168
300,14.3,0.22,0.22,0.22,0.12,0.22,0.004,125,3060,5165
300,14.3,0.215,0.215,0.215,0.14,0.215,0.004,127,3307,5154
300,14.3,0.21,0.21,0.21,0.16,0.21,0.004,128,3072,5195
300,14.3,0.205,0.205,0.205,0.18,0.205,0.004,132,2807,5027
300,14.3,0.195,0.195,0.195,0.22,0.195,0.004,129,3091,4960
300,14.3,0.19,0.19,0.19,0.24,0.19,0.004,130,2966,4921
300,14.3,0.185,0.185,0.185,0.26,0.185,0.004,128,3076,4963
300,14.3,0.18,0.18,0.18,0.28,0.18,0.004,128,3131,4822
300,14.3,0.175,0.175,0.175,0.3,0.175,0.004,129,3084,4802
300,14.3,0.225,0.225,0.225,0.225,0.1,0.004,139,3165,5225
300,14.3,0.22,0.22,0.22,0.22,0.12,0.004,133,3263,5053
300,14.3,0.215,0.215,0.215,0.215,0.14,0.004,137,3011,5044
300,14.3,0.21,0.21,0.21,0.21,0.16,0.004,131,3147,5182
300,14.3,0.205,0.205,0.205,0.205,0.18,0.004,129,3315,5055
300,14.3,0.195,0.195,0.195,0.195,0.22,0.004,128,3211,5008
300,14.3,0.19,0.19,0.19,0.19,0.24,0.004,125,3111,5069
300,14.3,0.185,0.185,0.185,0.185,0.26,0.004,124,3179,5033
300,14.3,0.18,0.18,0.18,0.18,0.28,0.004,122,3067,4862
300,14.3,0.175,0.175,0.175,0.175,0.3,0.004,122,2916,4911
300,12.6,0.1,0.225,0.225,0.225,0.225,0.004,123,3091,4654
300,12.6,0.12,0.22,0.22,0.22,0.22,0.004,123,3002,4640
300,12.6,0.14,0.215,0.215,0.215,0.215,0.004,125,2858,4631
300,12.6,0.16,0.21,0.21,0.21,0.21,0.004,123,2917,4774
300,12.6,0.18,0.205,0.205,0.205,0.205,0.004,122,3123,4775
300,12.6,0.2,0.2,0.2,0.2,0.2,0.004,120,3077,4847
300,12.6,0.22,0.195,0.195,0.195,0.195,0.004,123,2916,4850
300,12.6,0.24,0.19,0.19,0.19,0.19,0.004,123,2854,4712
300,12.6,0.26,0.185,0.185,0.185,0.185,0.004,125,2862,4863
300,12.6,0.28,0.18,0.18,0.18,0.18,0.004,125,2843,4874
300,12.6,0.3,0.175,0.175,0.175,0.175,0.004,126,2819,4983
300,12.6,0.225,0.1,0.225,0.225,0.225,0.004,117,2663,4645
300,12.6,0.22,0.12,0.22,0.22,0.22,0.004,117,3028,4590
300,12.6,0.215,0.14,0.215,0.215,0.215,0.004,119,3044,4783
300,12.6,0.21,0.16,0.21,0.21,0.21,0.004,122,2755,4744
300,12.6,0.205,0.18,0.205,0.205,0.205,0.004,124,2969,4896
300,12.6,0.195,0.22,0.195,0.195,0.195,0.004,124,2926,4966
300,12.6,0.19,0.24,0.19,0.19,0.19,0.004,126,3025,4854
300,12.6,0.185,0.26,0.185,0.185,0.185,0.004,128,3018,4898
300,12.6,0.18,0.28,0.18,0.18,0.18,0.004,131,2830,4997
300,12.6,0.175,0.3,0.175,0.175,0.175,0.004,131,2933,4875
300,12.6,0.225,0.225,0.1,0.225,0.225,0.004,126,2866,4869
300,12.6,0.22,0.22,0.12,0.22,0.22,0.004,124,2835,4912
300,12.6,0.215,0.215,0.14,0.215,0.215,0.004,124,2960,4857
300,12.6,0.21,0.21,0.16,0.21,0.21,0.004,124,3024,4823
300,12.6,0.205,0.205,0.18,0.205,0.205,0.004,126,2865,4873
300,12.6,0.195,0.195,0.22,0.195,0.195,0.004,125,2839,4891
300,12.6,0.19,0.19,0.24,0.19,0.19,0.004,125,2838,4705
300,12.6,0.185,0.185,0.26,0.185,0.185,0.004,126,2780,4868
300,12.6,0.18,0.18,0.28,0.18,0.18,0.004,123,2812,4909
300,12.6,0.175,0.175,0.3,0.175,0.175,0.004,123,2904,4833
300,12.6,0.225,0.225,0.225,0.1,0.225,0.004,121,2914,4957
300,12.6,0.22,0.22,0.22,0.12,0.22,0.004,125,2796,4894
300,12.6,0.215,0.215,0.215,0.14,0.215,0.004,121,3233,5031
300,12.6,0.21,0.21,0.21,0.16,0.21,0.004,124,2831,4844
300,12.6,0.205,0.205,0.205,0.18,0.205,0.004,127,2834,4912
300,12.6,0.195,0.195,0.195,0.22,0.195,0.004,126,2861,4933
300,12.6,0.19,0.19,0.19,0.24,0.19,0.004,124,2788,4693
300,12.6,0.185,0.185,0.185,0.26,0.185,0.004,124,2938,4782
300,12.6,0.18,0.18,0.18,0.28,0.18,0.004,123,3144,4557
300,12.6,0.175,0.175,0.175,0.3,0.175,0.004,127,2998,4594
300,12.6,0.225,0.225,0.225,0.225,0.1,0.004,128,3035,5058
300,12.6,0.22,0.22,0.22,0.22,0.12,0.004,131,2932,4832
300,12.6,0.215,0.215,0.215,0.215,0.14,0.004,131,2885,4795
300,12.6,0.21,0.21,0.21,0.21,0.16,0.004,127,2940,4899
300,12.6,0.205,0.205,0.205,0.205,0.18,0.004,124,3073,4830
300,12.6,0.195,0.195,0.195,0.195,0.22,0.004,121,2955,4973
300,12.6,0.19,0.19,0.19,0.19,0.24,0.004,125,2594,4885
300,12.6,0.185,0.185,0.185,0.185,0.26,0.004,122,2740,4802
300,12.6,0.18,0.18,0.18,0.18,0.28,0.004,120,2765,4721
300,12.6,0.175,0.175,0.175,0.175,0.3,0.004,122,2549,4623
400,17.2,0.1,0.225,0.225,0.225,0.225,0.004,160,3214,4913
400,17.2,0.12,0.22,0.22,0.22,0.22,0.004,159,3126,4893
400,17.2,0.14,0.215,0.215,0.215,0.215,0.004,156,3375,5134
400,17.2,0.16,0.21,0.21,0.21,0.21,0.004,150,3769,4952
400,17.2,0.18,0.205,0.205,0.205,0.205,0.004,152,3585,5097
400,17.2,0.2,0.2,0.2,0.2,0.2,0.004,154,3438,5095
400,17.2,0.22,0.195,0.195,0.195,0.195,0.004,154,3457,5113
400,17.2,0.24,0.19,0.19,0.19,0.19,0.004,151,3845,5171
400,17.2,0.26,0.185,0.185,0.185,0.185,0.004,149,3761,5224
400,17.2,0.28,0.18,0.18,0.18,0.18,0.004,148,3728,5037
400,17.2,0.3,0.175,0.175,0.175,0.175,0.004,151,3512,5256
400,17.2,0.225,0.1,0.225,0.225,0.225,0.004,147,3230,4858
400,17.2,0.22,0.12,0.22,0.22,0.22,0.004,148,3213,5015
400,17.2,0.215,0.14,0.215,0.215,0.215,0.004,151,3376,5067
400,17.2,0.21,0.16,0.21,0.21,0.21,0.004,148,3616,5057
400,17.2,0.205,0.18,0.205,0.205,0.205,0.004,149,3763,4994
400,17.2,0.195,0.22,0.195,0.195,0.195,0.004,156,3420,4984
400,17.2,0.19,0.24,0.19,0.19,0.19,0.004,158,3407,5264
400,17.2,0.185,0.26,0.185,0.185,0.185,0.004,162,3310,5255
400,17.2,0.18,0.28,0.18,0.18,0.18,0.004,160,3599,5434
400,17.2,0.175,0.3,0.175,0.175,0.175,0.004,163,3400,5224
400,17.2,0.225,0.225,0.1,0.225,0.225,0.004,151,3497,5003
400,17.2,0.22,0.22,0.12,0.22,0.22,0.004,152,3451,5059
400,17.2,0.215,0.215,0.14,0.215,0.215,0.004,152,3478,5239
400,17.2,0.21,0.21,0.16,0.21,0.21,0.004,153,3545,5179
400,17.2,0.205,0.205,0.18,0.205,0.205,0.004,153,3433,5090
400,17.2,0.195,0.195,0.22,0.195,0.195,0.004,155,3336,4919
400,17.2,0.19,0.19,0.24,0.19,0.19,0.004,155,3357,5136
400,17.2,0.185,0.185,0.26,0.185,0.185,0.004,158,3277,4944
400,17.2,0.18,0.18,0.28,0.18,0.18,0.004,159,3244,5201
400,17.2,0.175,0.175,0.3,0.175,0.175,0.004,158,3351,5142
400,17.2,0.225,0.225,0.225,0.1,0.225,0.004,155,3283,5358
400,17.2,0.22,0.22,0.22,0.12,0.22,0.004,151,3627,5039
400,17.2,0.215,0.215,0.215,0.14,0.215,0.004,155,3281,5242
400,17.2,0.21,0.21,0.21,0.16,0.21,0.004,151,3730,5155
400,17.2,0.205,0.205,0.205,0.18,0.205,0.004,152,3587,5174
400,17.2,0.195,0.195,0.195,0.22,0.195,0.004,158,3227,5014
400,17.2,0.19,0.19,0.19,0.24,0.19,0.004,153,3601,4919
400,17.2,0.185,0.185,0.185,0.26,0.185,0.004,155,3476,4941
400,17.2,0.18,0.18,0.18,0.28,0.18,0.004,160,3272,4920
400,17.2,0.175,0.175,0.175,0.3,0.175,0.004,156,3366,4826
400,17.2,0.225,0.225,0.225,0.225,0.1,0.004,160,3852,5354
400,17.2,0.22,0.22,0.22,0.22,0.12,0.004,161,3656,5130
400,17.2,0.215,0.215,0.215,0.215,0.14,0.004,162,3357,5185
400,17.2,0.21,0.21,0.21,0.21,0.16,0.004,162,3366,5105
400,17.2,0.205,0.205,0.205,0.205,0.18,0.004,156,3490,5127
400,17.2,0.195,0.195,0.195,0.195,0.22,0.004,151,3429,5085
400,17.2,0.19,0.19,0.19,0.19,0.24,0.004,150,3363,5121
400,17.2,0.185,0.185,0.185,0.185,0.26,0.004,148,3419,5010
400,17.2,0.18,0.18,0.18,0.18,0.28,0.004,147,3307,4852
400,17.2,0.175,0.175,0.175,0.175,0.3,0.004,141,3438,4921
400,14.3,0.1,0.225,0.225,0.225,0.225,0.004,124,3227,4800
400,14.3,0.12,0.22,0.22,0.22,0.22,0.004,127,2947,4711
400,14.3,0.14,0.215,0.215,0.215,0.215,0.004,127,2947,4728
400,14.3,0.16,0.21,0.21,0.21,0.21,0.004,124,3273,4751
400,14.3,0.18,0.205,0.205,0.205,0.205,0.004,122,3176,4838
400,14.3,0.2,0.2,0.2,0.2,0.2,0.004,123,3339,4878
